"","'Page number","'Layout","'Text","'Reading Order","'Confidence score % (Layout)","file"
"31","'2","'Text 6","'The main geographical regions are indicated in the Table of Contents on p.iii. An alphabetical list, show- ing where each country entry is to be found, is on p. 2, following these notes. To the extent that national variations permit, each country entry (with the exception of those for some smaller countries) is arranged in a standard form: general information about population, military service, total military manpower strength, Gross National Product (GNP) and defence expenditure; separate sections on the army, navy, and air force, with broad organization and equipment and, where relevant, the foreign deployment of forces of a significant size and main naval bases. Where the information is available, reserves and para- military forces are included. It is not easy to make precise distinctions as to what are or are not para- military forces, and some latitude must be allowed in definition. In general, however, para-military forces are here taken to be forces whose equipment and training goes beyond that required for civil police duties and whose constitution and control suggest they may be usable in support, or in lieu, of regular forces.","'13","'99.21875000","04597228108459910/layout.csv"
"32","'2","'Section header 3","'Defence Pacts and Agreements","'14","'96.38671875","04597228108459910/layout.csv"
"33","'2","'Text 7","'A short description of multilateral and bilateral pacts and military aid agreements introduces each of the main regional sections of the study. Defence assistance given under less formal arrangements is also noted. Agreements which cover only economic aid are not included.","'15","'96.87500000","04597228108459910/layout.csv"
"34","'2","'Section header 4","'Defence Expenditure","'16","'96.28906250","04597228108459910/layout.csv"
"35","'2","'Text 8","'For defence expenditure the latest available budget figures are quoted. Table 4 on p. 112 shows current and past expenditures, expressed in current United States dollars so as to afford international com- parisons; however, since many countries update these each year, the figures will not necessarily correspond with those shown in previous editions of The Military Balance. In Table 2 there are compari- sons of NATO defence expenditures 1961-1980 in current and constant prices; in this table, and for the NATO countries in Table 4, a standard NATO definition of defence expenditure is used, but in most other cases national definitions are used. The defence expenditures of the Soviet Union and the People's Republic of China are a range of estimates illustrating the variation of opinion as to these expenditures. The problem of arriving at Soviet defence expenditure and an exchange rate to afford comparability is discussed on pp. 14-15, whilst a note on p. 75 covers the difficulty of arriving at a figure for China.","'17","'97.75390625","04597228108459910/layout.csv"
"36","'2","'Section header 5","'National Income","'18","'96.04492188","04597228108459910/layout.csv"
"37","'2","'Text 9","'Gross National Product (GNP) and Gross Domestic Product (GDP) figures are both used. GDP is equal to GNP minus net income from abroad. GNP figures are usually quoted at current market prices (factor cost for East European countries). Where figures are not currently available from published sources, estimates have been made, and Table 4 uses both published and estimated GNP figures. Wherever possible, the United Nations System of National Accounts has been used, rather than national figures, as a step towards greater comparability. For the Soviet Union GNP estimates are made in roubles, following R.W. Campbell, 'A Shortcut Method for Estimating Soviet GNP' (Association for Comparative Economic Studies, vol. XIV, no.2, Fall 1972). East European GNPS at factor cost are derived from Net Material Product, using an adjustment parameter from T.P. Alton, 'Economic Growth and Resource Allocation in Eastern Europe', Reorientation and Commercial Relations of the Economies of Eastern Europe, Joint Economic Committee, 93rd Congress, 2nd Session (Washington DC: USGPO, 1974). For the People's Republic of China two estimates of GNP have been given in a note on p. 75.","'19","'97.85156250","04597228108459910/layout.csv"
"38","'2","'Section header 6","'Currency Conversion Rates","'20","'94.62890625","04597228108459910/layout.csv"
"39","'2","'Text 10","'To make comparisons easier, national currency figures have been converted into United States dollars, using the rate prevailing at the end of the first quarter of the relevant year. In all cases the conversion rates used are shown in the country entry but may not always be applicable to commercial transactions. An exception has been made in the case of the Soviet Union, since the official exchange rate is unsuitable for converting rouble estimates of GNP. Various estimates of more appropriate conversion rates have been made, but they have shortcomings too great to warrant their being used here; the official rate is, however, given in the country section. Further exceptions are certain East European countries which are not members of the IMF and Romania (which is), for which the conversion rates used are those described in Alton's study mentioned above.","'21","'97.55859375","04597228108459910/layout.csv"
"40","'2","'Section header 7","'Manpower","'22","'90.67382813","04597228108459910/layout.csv"
"41","'2","'Text 11","'Unless otherwise stated, the manpower figures given are those of active forces, regular and conscript. An indication of the size of militia, reserve and para-military forces is also included in the country entry","'23","'95.80078125","04597228108459910/layout.csv"
"42","'3","'Page number 2","'vii","'24","'66.11328125","04597228108459910/layout.csv"
"43","'3","'Text 12","'where appropriate. Reserve figures are generally estimates based on a five-year post-conscription period. Further manpower information is also included in Table 4.","'25","'97.60742188","04597228108459910/layout.csv"
"44","'3","'Section header 8","'Equipment","'26","'90.42968750","04597228108459910/layout.csv"
"45","'3","'Text 13","'The equipment figures in the country entries cover total holdings, with the exception of combat aircraft, where front-line squadron strengths are normally shown. The symbol - indicates that part of an establish- ment is detached. Except where the symbol < is used, naval vessels of less than 100 tons structural dis- placement have been excluded. The term 'combat aircraft' comprises only bomber, fighter-bomber, strike, interceptor, reconnaissance, counter-insurgency and armed trainer aircraft including OCU (i.e. air- craft normally equipped and configured to deliver ordnance); it includes armed helicopters when clearly identified as such. Basic technical details of the nuclear delivery vehicles (missiles, artillery and aircraft) available to NATO and Warsaw Pact countries are given in Table 1.","'27","'99.31640625","04597228108459910/layout.csv"
"46","'3","'Section header 9","'Strength of Military Formations","'28","'94.23828125","04597228108459910/layout.csv"
"47","'3","'Text 14","'The table below gives the average establishment strength of the major military formations used in the text. The figures should be treated as approximate, since military organization is flexible, and formations may be reinforced or reduced. The manning of formations may, of course, be well below these levels.","'29","'97.16796875","04597228108459910/layout.csv"
"48","'3","'Table 1",NA,"'30","'97.26562500","04597228108459910/layout.csv"
"49","'3","'Text 15","'a These tank strengths are for Soviet divisions in Eastern Europe; other Soviet divisions have fewer. Some GSFG tk divs may have up to 415 tks, and mech divs up to 320. b Strength of a regiment, which is the equivalent formation in the Soviet and Chinese command structures. (The term 'regiment' is, however, often employed, particularly in West European countries, to describe a battalion-size unit, and it is so used in The Military Balance.) c Infantry division. d Britain has reintroduced the brigade organization, but combat formations are battle groups based on an armoured regiment or mechanized battalion. Armoured division strength will rise to 11,500 on mobilization. e Manpower levels currently under review.","'31","'82.17773438","04597228108459910/layout.csv"
"50","'3","'Text 16","'Divisional strengths cover organic units only and exclude support units or services outside the division- al structure. Warsaw Pact forces and those of other Soviet-supported countries have establishments simi- lar to those of the Soviet Union. NATO formations and squadrons not included in the table above have similar totals to those of Germany unless otherwise mentioned in the text. Iran, Pakistan, the Philippines, Thailand, Japan, South Korea and Taiwan have tended to adopt American military organization, while Australia, New Zealand, Malaysia and Singapore have generally followed British practice.","'32","'97.70507813","04597228108459910/layout.csv"
"51","'3","'Section header 10","'Arms Transfers","'33","'83.54492188","04597228108459910/layout.csv"
"52","'3","'Text 17","'Major arms supply agreements identified as being made during the year which ended on 1 July 1981 are listed, by geographical region, in Table 5 on pp. 114-18. Because the actual transfer of arms may take place outside that year, an indication is also given there of expected delivery dates, where these are known. Licensing arrangements, widespread among industrialized countries, are not normally included.","'34","'97.99804688","04597228108459910/layout.csv"
"53","'3","'Section header 11","'Abbreviations and Terms","'35","'85.44921875","04597228108459910/layout.csv"
"54","'3","'Text 18","'A list of the abbreviations used in the text is on p.viii, immediately following these notes. For the con- venience of the reader, certain important abbreviations are explained again when first used. Where a $ sign appears it refers to US dollars, unless otherwise stated. The term billion equals 1,000 million.","'36","'96.87500000","04597228108459910/layout.csv"
"55","'1","'Header 1","'This article was downloaded by: [University of California Santa Cruz] On: 31 January 2015, At: 23:24 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'86.91406250","04597228108459911/layout.csv"
"56","'1","'Figure 1",NA,"'1","'93.65234375","04597228108459911/layout.csv"
"57","'1","'Title 1","'The Military Balance","'2","'28.02734375","04597228108459911/layout.csv"
"58","'1","'Text 1","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'37.67089844","04597228108459911/layout.csv"
"59","'1","'Title 2","'Abbreviations","'4","'36.93847656","04597228108459911/layout.csv"
"60","'1","'Text 2","'Published online: 22 Jan 2009.","'5","'31.73828125","04597228108459911/layout.csv"
"61","'1","'Text 3","'To cite this article: (1981) Abbreviations, The Military Balance, 81:1, 8-8, DOI: 10.1080/04597228108459911 To link to this article: http://dx.doi.org/10.1080/04597228108459911","'6","'93.21289063","04597228108459911/layout.csv"
"62","'1","'Section header 1","'PLEASE SCROLL DOWN FOR ARTICLE","'7","'84.66796875","04597228108459911/layout.csv"
"63","'1","'Text 4","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'8","'97.07031250","04597228108459911/layout.csv"
"64","'1","'Text 5","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http: // www.tandfonline.com/page/terms-and-conditions","'9","'93.11523438","04597228108459911/layout.csv"
"65","'2","'Page number 1","'viii","'10","'54.88281250","04597228108459911/layout.csv"
"66","'2","'Table 1",NA,"'11","'97.70507813","04597228108459911/layout.csv"
"67","'1","'Header 1","'This article was downloaded by: [University of Calgary] On: 01 February 2015, At: 18:17 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'87.98828125","04597228108459912/layout.csv"
"68","'1","'Figure 1",NA,"'1","'93.31054688","04597228108459912/layout.csv"
"69","'1","'Text 1","'The Military Balance","'2","'35.35156250","04597228108459912/layout.csv"
"70","'1","'Text 2","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'40.35644531","04597228108459912/layout.csv"
"71","'1","'Title 1","'The United States and the Soviet Union","'4","'41.87011719","04597228108459912/layout.csv"
"72","'1","'Text 3","'Published online: 22 Jan 2009.","'5","'39.69726563","04597228108459912/layout.csv"
"73","'1","'Text 4","'To cite this article: (1981) The United States and the Soviet Union, The Military Balance, 81:1, 3-15, DOI: 10.1080/04597228108459912","'6","'95.26367188","04597228108459912/layout.csv"
"74","'1","'Text 5","'To link to this article: http://dx.doi.org/10.1080/04597228108459912","'7","'92.28515625","04597228108459912/layout.csv"
"75","'1","'Section header 1","'PLEASE SCROLL DOWN FOR ARTICLE","'8","'85.00976563","04597228108459912/layout.csv"
"76","'1","'Text 6","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'9","'97.02148438","04597228108459912/layout.csv"
"77","'1","'Text 7","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http:// www.tandfonline.com/page/terms-and-conditions","'10","'94.04296875","04597228108459912/layout.csv"
"78","'2","'Text 8","'Chocolates","'11","'60.20507813","04597228108459912/layout.csv"
"79","'2","'Text 9","'1","'12","'42.91992188","04597228108459912/layout.csv"
"80","'2","'Text 10","'COUNTRIES AND PRINCIPAL PACTS","'13","'42.72460938","04597228108459912/layout.csv"
"81","'3","'Page number 1","'3","'14","'94.82421875","04597228108459912/layout.csv"
"82","'3","'Title 2","'The United States and the Soviet Union","'15","'73.19335938","04597228108459912/layout.csv"
"83","'3","'Section header 2","'American Strategic Forces","'16","'96.82617188","04597228108459912/layout.csv"
"84","'3","'Text 11","'The second Strategic Arms Limitation Talks Agreement (SALT II), signed in June 1979, remains unratified. Modernization of strategic weapons continues within the context and limits imposed by SALT I and stipulated in the Vladivostok accord of 1974. Neither side appears to have taken any steps to breach irreversibly the provisions of SALT II, and both sides have reduced the numbers of SLBM in service, although this is probably temporary only, while new submarine types are phased into service.","'17","'97.90039063","04597228108459912/layout.csv"
"85","'3","'Text 12","'Modernization of the US ICBM force with Mk 12A warheads retrofitted to the 550 Minute- man III missiles is virtually complete. Damage to two Titan II silos has resulted in a reduction in that force of two missiles, one of which is expected to be back in service in 1982. The new Administration is reviewing the MX ICBM basing mode, with decisions expected shortly, and development of the missile continues.","'18","'95.89843750","04597228108459912/layout.csv"
"86","'3","'Text 13","'The retrofitting of the Trident C-4 SLBM (range 4,000 nm, 8 X 100KT MIRV) into Poseidon SSBN continues with 4 boats now in service and 6 more scheduled for refitting shortly. Five Allen-class Polaris boats have now been retired. The net effect of these changes has reduced the number of SLBM launchers by 100, warheads by 272 and yield by 43.2MT. The first of the new Ohio-class SSBN (24 Trident C-4), is undergoing sea trials. The programme (totalling 11 boats) has suffered from production delays, but 8 boats are now building. Early development of Trident D-5 SLBM (range 6,000 nm, up to 14 X 150KT MIRV or, possibly, MARV) continues.","'19","'95.70312500","04597228108459912/layout.csv"
"87","'3","'Text 14","'Within the strategic bomber force the older B-52F models have now been placed in reserve. Upgrading of the D, G and H models has begun. This will give the B-52D greater bombing accuracy and enable the G and H models to carry ALCM. Conversion of the B-52G to carry ALCM is in hand, with the first squadron of 16 aircraft due to enter service in December 1981. The Administration's decision on whether to reinstate the B-1, to stretch the F-111, or to em- bark on an entirely new strategic bomber is expected shortly. The total number of US deliver- able strategic warheads is now about 9,000, when ICBM and SLBM warheads and air-delivered weapons are counted (the figure of 7,301 in last year's Military Balance referred to missile- carried warheads only). Bomber force loadings are difficult to establish with precision.","'20","'95.99609375","04597228108459912/layout.csv"
"88","'3","'Text 15","'Defence against strategic attack is under review, with renewed emphasis being placed on the research and development of ABM systems. This programme looks at pursuing short-term, endo- and exo-atmospheric detection and interception of re-entry vehicles. A previous LOADS (Low-Altitude Defensive Systems) concept is being re-examined, with full system tests expected during this fiscal year. Improvements in early warning systems against manned bombers, strategic command, control, communications and intelligence (C3I), and increases in the CONUS interceptor forces are taking place.","'21","'97.55859375","04597228108459912/layout.csv"
"89","'3","'Section header 3","'Soviet Strategic Systems","'22","'90.52734375","04597228108459912/layout.csv"
"90","'3","'Text 16","'The Soviet Union's ICBM deployment total remained unchanged over the year, although there have been reports of modifications to warheads to provide greater targeting flexibility in terms of yields and accuracy. There are now some 308 SS-18 in service, mostly with 8 X 2MT war- heads, but a few are reported with 1 X 10-50MT warhead. Also in service are 150 SS-17, 300 SS-19 and 580 of the older SS-11, some 60 of which, in SS-19 silos, may be being uprated to SS-19 standard. A number of new types of ICBM are believed to be under development.","'23","'97.41210938","04597228108459912/layout.csv"
"91","'3","'Text 17","'The modernization of the I/MRBM force continues, with some 230 of the new SS-20 (3 X 150KT MIRV) in service. Phasing out of the older single-warhead SS-4 and SS-5 (1 X 1MT RV) continues at a rather slower pace, resulting in a net increase of perhaps 10 launchers over the year. Before the SS-20 was introduced in 1977 there were some 600 SS-4 and -5 with single warheads. Today there are some 380 SS-4/-5 1MT and 690 SS-20 150KT warheads; an increase in the total number of available warheads of some 56%, albeit with a decline in the deliverable megatonnage of some 19%.","'24","'96.43554688","04597228108459912/layout.csv"
"92","'4","'Page number 2","'4","'25","'91.74804688","04597228108459912/layout.csv"
"93","'4","'Header 2","'UNITED STATES AND SOVIET UNION","'26","'39.33105469","04597228108459912/layout.csv"
"94","'4","'Text 18","'There has been an overall decline in the number of SLBM from 1,003 in 1980 to 989 in 1981. The total number of D-class submarines remains the same, but a reassessment has raised the total of D-II boats to 11, with a corresponding drop in D-I boats, and results in an increase of four missiles in the gross total. The Y-class and H-II class totals are each down one. The G-class (not included under SALT) remain as they were last year, with perhaps 3 in reserve. The older G-I class, withdrawn last year, have apparently been scrapped. The first of the new Typhoon-class, with 20 missiles, is now fitting out and more of this class are under con- struction. The missile is also believed to be new, the SS-NX-20 with MIRV.","'27","'98.48632813","04597228108459912/layout.csv"
"95","'4","'Text 19","'The Long Range Air Force continues to operate its ageing force of Tu-95, Mya-4, Tu-16, Tu-22 and its newer Tu-22M/Tu-26 Backfire. There is some variation in numbers of Backfire when compared with last year. It is possible that the earlier Backfire A has been taken out of service for modification.","'28","'97.02148438","04597228108459912/layout.csv"
"96","'4","'Text 20","'Excluding the I/MRBM forces, the total number of nuclear delivery vehicles is 2,537, and the number of deliverable warheads has risen in the year from 6,000 to over 7,000, primarily as a result of introducing MIRVed launchers to replace single-warhead launchers.","'29","'94.82421875","04597228108459912/layout.csv"
"97","'4","'Text 21","'There is no evidence that the Soviet Union is according a lower priority to strategic defence. Although the number of Galosh ABM around Moscow has been reduced from 64 to 32, it now appears that this is a prelude to some upgrading consistent with the ABM Treaty of 1972. New ABM-associated and intermediate-range radars are reported in service or under construction, and a new low-level SA-10 SAM is entering service, with other SAM reported under develop- ment. Civil Defence remains a higher priority in the USSR than in the US, particularly in terms of providing protection for the leadership.","'30","'96.97265625","04597228108459912/layout.csv"
"98","'4","'Section header 4","'American General-Purpose Forces","'31","'95.16601563","04597228108459912/layout.csv"
"99","'4","'Text 22","'Significant in the first Reagan budget was the emphasis given to the general preparedness of the US conventional forces, in clear recognition not only of their utility but also the neglect of previous years in terms of force levels and readiness. Clearly, it is still too early to identify all programme changes, but the shipbuilding programme deserves specific emphasis, as does the attention now being directed to the logistic support levels of all types of conventional forces.","'32","'93.99414063","04597228108459912/layout.csv"
"100","'4","'Text 23","'All services continue to procure additional items of existing equipment. The Army is slowly introducing the new M-1 Abrams tank and has begun to introduce its new M-2 infantry and M-3 cavalry combat vehicles. It has virtually phased out the 175mm gun, standardizing on the 155mm and 203mm howitzers. New weapons include the Multiple Launch Rocket System (MLRS), similar to multi-rail unguided artillery rocket systems in general use throughout the Warsaw Pact. It is intended to provide high rates of fire against area targets. The Divisional Air Defense gun (DIVAD), a 40mm self-propelled anti-aircraft weapon intended to augment existing AA artillery protection within the field forces, is also being introduced. A new SAM, the Patriot, is on order. The Navy is ordering two aircraft carriers, four cruisers, three destroyers and 31 frigates, with plans for others for future fiscal years. The reactivation and moderniz- ation of two, perhaps four, battleships from the reserve is being considered. The Marine Corps will receive additional amphibious personnel carriers and CH-53E Super Stallion helicopters. The Air Force continues to phase in the F-16, replacing its F-4 Phantoms.","'33","'95.94726563","04597228108459912/layout.csv"
"101","'4","'Text 24","'Concern continues to be expressed over the increasing problems concerning the service- ability and maintenance of complex military equipment. Reports suggest that many modern weapons fail in service through inadequate maintenance, or some minor components showing faults when tested, sometimes as a result of a malfunction in the test equipment.","'34","'93.50585938","04597228108459912/layout.csv"
"102","'4","'Section header 5","'Soviet General-Purpose Forces","'35","'90.38085938","04597228108459912/layout.csv"
"103","'4","'Text 25","'The steady improvement of Soviet divisions in terms of firepower, mobility and logistic support continues, although no new types of major equipment have been identified during the past year. The T-80 medium tank has not yet appeared, while the familiar PT-76 light tank continues to be phased out in favour of the BMD light tank and perhaps the BMP infantry combat vehicle, which uses the same turret as the PT-76 with a 73mm gun. The old BTR-50 and -60 personnel carriers are being replaced by the BTR-70 and by the BMP.","'36","'97.36328125","04597228108459912/layout.csv"
"104","'5","'Header 3","'UNITED STATES AND SOVIET UNION","'37","'58.15429688","04597228108459912/layout.csv"
"105","'5","'Page number 3","'5","'38","'95.84960938","04597228108459912/layout.csv"
"106","'5","'Text 26","'The Soviet Navy is acquiring some impressive new equipment. A new cruise missile sub- marine, the O-class with 20 SS-N-19, has been developed. New surface combatants include the Kirov-class nuclear-powered missile cruiser, carrying a mix of surface-to-surface, surface- to-air and anti-submarine missiles, and two new classes of missile-equipped destroyers, Sovremenny and Udaloy. Construction continues on known types in all categories.","'39","'94.33593750","04597228108459912/layout.csv"
"107","'5","'Text 27","'No new types have been noted in either the Naval Air Force or Frontal Aviation, with the possible exception of a new Sukhoi ground-attack aircraft. Older types are being replaced with new.","'40","'74.75585938","04597228108459912/layout.csv"
"108","'5","'Text 28","'Russian equipment continues to be characterized by its sturdiness and, in many cases, by its simplicity. Over the years, however, there has been a trend toward more sophistication both in construction and operation.","'41","'70.75195313","04597228108459912/layout.csv"
"109","'5","'Section header 6","'THE UNITED STATES","'42","'70.65429688","04597228108459912/layout.csv"
"110","'5","'Text 29","'Population: 225,300,000. Military service: voluntary. Total armed forces: 2,049,100 (167,760 women). Estimated GDP 1980: $2,920 bn. Defence expenditure 1981-2: $180 bn (national definition), * $171 bn (NATO definition).","'43","'91.74804688","04597228108459912/layout.csv"
"111","'5","'Section header 7","'Strategic Nuclear Forces:-","'44","'87.10937500","04597228108459912/layout.csv"
"112","'5","'Text 30","'OFFENSIVE:","'45","'64.40429688","04597228108459912/layout.csv"
"113","'5","'List 1",NA,"'46","'57.08007813","04597228108459912/layout.csv"
"114","'5","'Text 31 - Part of List 1","'(a) Navy (21,000): 576 SLBM in 36 SSBN.","'47","'88.08593750","04597228108459912/layout.csv"
"115","'5","'Text 32 - Part of List 1","'31 Lafayette SSBN: 4 with 16 Trident I C-4 (64 msls); 27 with Poseidon C-3 (432 msls), (8 to be retrofitted with C-4).","'48","'94.43359375","04597228108459912/layout.csv"
"116","'5","'Text 33 - Part of List 1","'5 Washington, each with 16 Polaris A-3 (80 msls); (3 decommissioned Allen could be re- activated).","'49","'95.65429688","04597228108459912/layout.csv"
